"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"ZCTA5 89010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","185","","182","0","3","0","0","0","0","38","144","","0","44","47","94","","113","40","73","99","40","14","0","0","0","","66","15","0","32","0","0","","37","26","50","0","","72","20","20","0","52","45","7"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","185","","98.4%","0.0%","1.6%","0.0%","0.0%","0.0%","0.0%","20.5%","77.8%","","0.0%","23.8%","25.4%","50.8%","","113","35.4%","64.6%","87.6%","35.4%","12.4%","0.0%","0.0%","0.0%","","58.4%","13.3%","0.0%","28.3%","0.0%","0.0%","","32.7%","23.0%","44.2%","0.0%","","72","27.8%","27.8%","0.0%","72.2%","62.5%","9.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,847","","32,639","-","-","-","-","-","-","-","31,905","","-","-","-","31,548","","44,750","-","46,250","67,813","-","-","-","-","-","","-","-","-","-","-","-","","32,422","42,500","98,333","-","","21,429","20,000","20,000","-","28,409","27,708","-"
"ZCTA5 89019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,114","","940","78","0","60","0","8","28","68","880","","57","211","639","207","","489","56","433","354","29","123","15","12","12","","351","100","18","0","20","0","","150","214","105","20","","625","134","93","41","491","473","18"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,114","","84.4%","7.0%","0.0%","5.4%","0.0%","0.7%","2.5%","6.1%","79.0%","","5.1%","18.9%","57.4%","18.6%","","489","11.5%","88.5%","72.4%","5.9%","25.2%","3.1%","2.5%","2.5%","","71.8%","20.4%","3.7%","0.0%","4.1%","0.0%","","30.7%","43.8%","21.5%","4.1%","","625","21.4%","14.9%","6.6%","78.6%","75.7%","2.9%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","56,765","","82,647","-","-","23,929","-","-","-","18,000","84,265","","135,762","-","-","62,461","","89,558","-","89,981","-","-","89,058","-","-","-","","89,365","-","-","-","-","-","","-","90,811","141,103","-","","-","61,250","61,367","-","-","-","-"
"ZCTA5 89060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,348","","3,654","37","0","18","3","380","256","651","3,526","","51","764","1,593","1,940","","2,584","724","1,860","2,271","679","217","45","96","0","","1,526","502","394","117","24","21","","991","1,065","326","202","","1,764","728","571","157","1,036","687","349"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,348","","84.0%","0.9%","0.0%","0.4%","0.1%","8.7%","5.9%","15.0%","81.1%","","1.2%","17.6%","36.6%","44.6%","","2,584","28.0%","72.0%","87.9%","26.3%","8.4%","1.7%","3.7%","0.0%","","59.1%","19.4%","15.2%","4.5%","0.9%","0.8%","","38.4%","41.2%","12.6%","7.8%","","1,764","41.3%","32.4%","8.9%","58.7%","38.9%","19.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45,833","","44,776","-","-","-","-","38,550","57,922","39,869","46,402","","-","70,536","53,040","36,158","","52,552","53,924","51,579","53,488","54,636","31,701","16,078","72,794","-","","49,265","51,659","58,531","-","-","-","","33,782","53,932","86,500","-","","35,592","28,549","27,639","-","36,816","35,156","70,685"
"ZCTA5 89061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,527","","2,168","119","29","0","0","91","120","181","2,078","","73","270","774","1,410","","1,751","141","1,610","1,496","60","187","40","68","41","","1,332","308","21","90","0","0","","1,034","404","242","71","","776","319","319","0","457","381","76"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,527","","85.8%","4.7%","1.1%","0.0%","0.0%","3.6%","4.7%","7.2%","82.2%","","2.9%","10.7%","30.6%","55.8%","","1,751","8.1%","91.9%","85.4%","3.4%","10.7%","2.3%","3.9%","2.3%","","76.1%","17.6%","1.2%","5.1%","0.0%","0.0%","","59.1%","23.1%","13.8%","4.1%","","776","41.1%","41.1%","0.0%","58.9%","49.1%","9.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","56,865","","56,409","112,676","-","-","-","-","57,161","47,824","56,045","","-","72,639","57,397","55,682","","61,148","77,589","60,153","65,688","-","49,137","-","-","126,484","","58,359","79,405","-","49,286","-","-","","56,250","58,850","77,798","109,388","","33,474","32,578","32,578","-","33,709","30,139","107,632"
"ZCTA5 89439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","633","","615","0","18","0","0","0","0","15","600","","0","116","260","257","","434","84","350","418","84","0","0","16","0","","322","70","23","19","0","0","","147","87","172","28","","199","83","66","17","116","105","11"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","633","","97.2%","0.0%","2.8%","0.0%","0.0%","0.0%","0.0%","2.4%","94.8%","","0.0%","18.3%","41.1%","40.6%","","434","19.4%","80.6%","96.3%","19.4%","0.0%","0.0%","3.7%","0.0%","","74.2%","16.1%","5.3%","4.4%","0.0%","0.0%","","33.9%","20.0%","39.6%","6.5%","","199","41.7%","33.2%","8.5%","58.3%","52.8%","5.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","60,547","","61,953","-","-","-","-","-","-","-","63,500","","-","88,448","54,706","53,750","","81,875","88,966","78,611","87,845","88,966","-","-","-","-","","68,750","102,500","-","-","-","-","","59,609","81,016","110,000","-","","33,750","41,397","40,147","-","-","-","-"
"ZCTA5 90001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,689","","4,730","2,007","158","53","0","5,880","861","11,485","103","","331","5,026","6,103","2,229","","11,289","5,710","5,579","6,094","3,185","3,207","1,523","1,988","1,002","","1,876","2,586","2,453","2,066","1,092","1,216","","640","4,251","3,817","2,581","","2,400","1,078","814","264","1,322","899","423"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,689","","34.6%","14.7%","1.2%","0.4%","0.0%","43.0%","6.3%","83.9%","0.8%","","2.4%","36.7%","44.6%","16.3%","","11,289","50.6%","49.4%","54.0%","28.2%","28.4%","13.5%","17.6%","8.9%","","16.6%","22.9%","21.7%","18.3%","9.7%","10.8%","","5.7%","37.7%","33.8%","22.9%","","2,400","44.9%","33.9%","11.0%","55.1%","37.5%","17.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,011","","45,000","28,659","91,429","121,339","-","51,962","64,337","51,078","-","","44,688","44,046","56,670","38,432","","50,344","41,215","59,464","58,167","58,216","43,345","30,271","39,636","32,010","","33,913","44,167","48,622","59,718","60,366","80,735","","19,231","32,496","57,241","87,614","","21,458","15,429","14,128","29,357","27,105","20,912","59,453"
"ZCTA5 90002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
